id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped
rancho-bolsa-escorpinas,Bolsa De Las Escorpinas,1837,alvarado,Alvarado,S. Espinoza,6415,2,Monterey,SD 067,Confirmed,Salvador Espinoza,"Sept. 26, 1876","6,415.96",252,,https://digicoll.lib.berkeley.edu/record/266102,https://ranchos.archivesofcalifornia.com/r/rancho-bolsa-escorpinas.html,yes
rancho-canada-alisos,Canada De Los Alisos,1842,alvarado,Alvarado,J. Serano,10668,2,Orange,SD 031,Confirmed,Jose Serrano,"June 27, 1871","10,668.81",498,,https://digicoll.lib.berkeley.edu/record/266070,https://ranchos.archivesofcalifornia.com/r/rancho-canada-alisos.html,yes
rancho-piojo,El Piojo,1842,alvarado,Alvarado,Joaquin Soto,13329,3,,SD 210,Confirmed,the heirs of Joaquin Soto,"Apl. 30, 1866","13,329.28",310,,https://digicoll.lib.berkeley.edu/record/267554,https://ranchos.archivesofcalifornia.com/r/rancho-piojo.html,yes
rancho-ballona,Ballona,1839,alvarado,Alvarado,Agustin Machado et al,13919,1,Los Angeles,SD 123,Confirmed,Agustin Machado et al,"Dec. 8, 1873","13,919.90",434,,https://digicoll.lib.berkeley.edu/record/264493,https://ranchos.archivesofcalifornia.com/r/rancho-ballona.html,yes
rancho-chualar,Chualar,1839,alvarado,Alvarado,Mariano Malarin,8889,,Monterey,SD 110,Confirmed,"Mariano Malarin, executor","Oct. 31, 1872","8,889.68",270,,https://digicoll.lib.berkeley.edu/record/265851,https://ranchos.archivesofcalifornia.com/r/rancho-chualar.html,yes
rancho-san-jose,San Jose (Pacheco),1838,alvarado,Alvarado,Y. Pacheco,6659,1½,,ND 040,Confirmed,Ignacio Pacheco,"Jan. 14, 1861","6,659.25",45,,https://digicoll.lib.berkeley.edu/record/264427,https://ranchos.archivesofcalifornia.com/r/rancho-san-jose.html,yes
rancho-canada-jonive,Canada De Jonive,1846,pico,Pío Pico,Jasper O'Farrell,10786,,Sonoma,ND 048,Confirmed,Jasper O'Farrell,"Feb. 18, 1858","10,786.51",52,,https://digicoll.lib.berkeley.edu/record/264435,https://ranchos.archivesofcalifornia.com/r/rancho-canada-jonive.html,yes
rancho-sausal,Sausal,1834,figueroa,Jose Figueroa,Jose Tiburcio Castro,10241,2,Monterey,SD 190,Confirmed,Jacob P. Leese,"Sept. 2, 1859","10,241.19",264,,https://digicoll.lib.berkeley.edu/record/267537,https://ranchos.archivesofcalifornia.com/r/rancho-sausal.html,yes
rancho-laguna-palos-colorados,Laguna Del Los Palos Colorados,1835,interim,Alvarado,J. Moraga and Juan Bernal,13316,3,Contra Costa,ND 276,Confirmed,Joaquin Moraga and Juan Bernal,"Aug. 10, 1876","13,316.25",123,,https://digicoll.lib.berkeley.edu/record/256608,https://ranchos.archivesofcalifornia.com/r/rancho-laguna-palos-colorados.html,yes
rancho-cienega-paicines,Cienega De Los Paicines,1842,alvarado,Alvarado,Angel Castro,8917,2,San Benito,SD 220,Confirmed,Angel Castro et al,"Sept. 23, 1869","8,917.52",268,,https://digicoll.lib.berkeley.edu/record/267562,https://ranchos.archivesofcalifornia.com/r/rancho-cienega-paicines.html,yes
rancho-solis,Solis,1835,figueroa,Figueroa,Mariano Castro,8875,,Santa Clara,ND 405,Confirmed,Rufina Castro et al,"Jan. 18, 1859","8,875.46",225,,https://digicoll.lib.berkeley.edu/record/264252,https://ranchos.archivesofcalifornia.com/r/rancho-solis.html,yes
rancho-jamacho,Jamacho,1840,alvarado,Alvarado,A. Lorenzana,8881,2,,SD 048,Confirmed,Apolinaria Lorenzana,"Apl. 11, 1871","8,881.16",531,,https://digicoll.lib.berkeley.edu/record/266085,https://ranchos.archivesofcalifornia.com/r/rancho-jamacho.html,yes
rancho-ojo-agua-coche,Ojo De Agua De La Coche,1835,figueroa,Figueroa,Bernard Murphy,8927,,Santa Clara,ND 379,Confirmed,Martin J. C. Murphy,"Jan. 4, 1860","8,927.10",199,,https://digicoll.lib.berkeley.edu/record/264230,https://ranchos.archivesofcalifornia.com/r/rancho-ojo-agua-coche.html,yes
rancho-refugio,Refugio,1841,alvarado,Alvarado,Jose Bolcoff,12147,,Santa Cruz,SD 275,Confirmed,Francisco and Juan Bolcoff,"Feb. 4, 1860","12,147.12",207,,https://digicoll.lib.berkeley.edu/record/267615,https://ranchos.archivesofcalifornia.com/r/rancho-refugio.html,yes
rancho-ojitos,Los Ojitos,1842,alvarado,Alvarado,M. Soberanes,8900,2,,SD 221,Confirmed,Mariano Soberanes,"Apl. 18, 1871","8,900.17",311,,https://digicoll.lib.berkeley.edu/record/268901,https://ranchos.archivesofcalifornia.com/r/rancho-ojitos.html,yes
