id,name,year,era,governor,grantee,acres,leagues,county,land_case,outcome,patent_to,patent_date,patent_acres,glo_patent_no,scotus_cite,bancroft_scan_url,portal_url,mapped,docket_relation
rancho-san-buenaventura,San Buenaventura,1844,micheltorena,Micheltorena,P. B. Reading,26632,6,,ND 004,Confirmed,Pearson B. Reading,"Jan. 17, 1857","26,632.09",1,18 Howard 1,https://digicoll.lib.berkeley.edu/record/264160,https://ranchos.archivesofcalifornia.com/r/rancho-san-buenaventura.html,yes,sole
rancho-santa-catalina-island,Santa Catalina Island,1846,pico,Pio Pico,Tomas M. Robbins,45820,,,SD 368,Confirmed,Jose M. Covarrubias,"Apl. 10, 1867","45,820.43",470,,https://digicoll.lib.berkeley.edu/record/268989,https://ranchos.archivesofcalifornia.com/r/rancho-santa-catalina-island.html,yes,sole
rancho-canada-capay,Canada De Capay,1846,pico,Pio Pico,Santiago Nemesis and Francisco Berreyesa,40078,9,Yolo,ND 382,Confirmed,Jasper O'Farrell et al,"Feb. 16, 1865","40,078.58",84,,https://digicoll.lib.berkeley.edu/record/264233,https://ranchos.archivesofcalifornia.com/r/rancho-canada-capay.html,yes,sole
rancho-simi,Simi,1795,spanish,Borica,Patricio Javier y Miguel Pico,113009,,Ventura,SD 103,Confirmed,Jose de la Guerra y Noriega,"June 29, 1865","113,009.21",400,,https://digicoll.lib.berkeley.edu/record/265846,https://ranchos.archivesofcalifornia.com/r/rancho-simi.html,yes,sole
rancho-laguna-2,La Laguna (Gutierrez),1845,pico,Pico,Octaviano Gutierrez,48703,,,SD 021,Confirmed,Octaviano Gutierrez,"May 17, 1867","48,703.91",360,,https://digicoll.lib.berkeley.edu/record/266061,https://ranchos.archivesofcalifornia.com/r/rancho-laguna-2.html,yes,sole
rancho-jurupa-1,Jurupa (Stearns),1838,alvarado,Alvarado,Juan Bandini,32259,,Riverside,SD 213,Confirmed,,,,483,,https://digicoll.lib.berkeley.edu/record/102013,https://ranchos.archivesofcalifornia.com/r/rancho-jurupa-1.html,yes,sole
rancho-cuyama-1,Cuyama (Heirs Of Cesario Lataillade),1846,pico,Pío Pico,Grantee = Cesario Lataillade,48827,,Santa Barbara,SD 104,Confirmed,Cesario Lataillade,"Jan. 10, 1879","48,827.50",342,,https://digicoll.lib.berkeley.edu/record/268896,https://ranchos.archivesofcalifornia.com/r/rancho-cuyama-1.html,yes,sole
rancho-cienega-gabilan,Cienega Del Gabilan,1843,micheltorena,Micheltorena,Antonio Chavis,48780,11,Monterey,SD 314,Patented,Jesse D. Carr,"Oct. 15, 1867","48,780.72",250,,https://digicoll.lib.berkeley.edu/record/268939,https://ranchos.archivesofcalifornia.com/r/rancho-cienega-gabilan.html,yes,sole
rancho-new-helvetia-1,New Helvetia,1841,alvarado,Alvarado,John A. Sutter,48839,,Sacramento,ND 319,Confirmed,John A. Sutter,"June 20, 1866","48,839.30",20,21 How. 170,https://digicoll.lib.berkeley.edu/record/256648,https://ranchos.archivesofcalifornia.com/r/rancho-new-helvetia-1.html,yes,duplicate
rancho-sanjon-santa-rita,Sanjon De Santa Rita,1841,alvarado,Alvarado,F. Soberanes,48823,11,Merced,SD 206,Confirmed,Francisco Soberanes,"Nov. 20, 1862","48,823.80",198,,https://digicoll.lib.berkeley.edu/record/267550,https://ranchos.archivesofcalifornia.com/r/rancho-sanjon-santa-rita.html,yes,sole
rancho-petaluma,Petaluma,1843,figueroa,Figueroa,M.G. Vallejo,66622,,Sonoma,ND 321,Confirmed,M.G. Vallejo,"Nov. 19, 1874","66,622.17",49,,https://digicoll.lib.berkeley.edu/record/102021,https://ranchos.archivesofcalifornia.com/r/rancho-petaluma.html,yes,sole
rancho-santa-margarita-flores,Santa Margarita Y Las Flores,1841,alvarado,Alvarado,Pio Pico and Andres Pico,133440,,,SD 317,Confirmed,,,,505,,https://digicoll.lib.berkeley.edu/record/102014,https://ranchos.archivesofcalifornia.com/r/rancho-santa-margarita-flores.html,yes,sole
rancho-liebre,La Liebre,1846,pico,Pio Pico,J. M. Flores,48799,11,Kern,SD 170,Confirmed,Jose M. Flores,"June 21, 1875","48,799.59",347,,https://digicoll.lib.berkeley.edu/record/266128,https://ranchos.archivesofcalifornia.com/r/rancho-liebre.html,yes,sole
rancho-putos,Los Putos,1843,micheltorena,Micheltorena,J. M. Vaca and J. F. Pena,44383,10,Solano,ND 074,Confirmed,Juan M. Vaca and Juan F. Pena,"June 4, 1858","44,383.78",88,18 Howard 556,https://digicoll.lib.berkeley.edu/record/264457,https://ranchos.archivesofcalifornia.com/r/rancho-putos.html,yes,sole
rancho-laguna-tache,Laguna Del Tache,1846,pico,Pico,M. Castro,48800,9,Fresno,SD 255,Confirmed,Manuel Castro,"Mar. 6, 1866","48,800.62",301,,https://digicoll.lib.berkeley.edu/record/267596,https://ranchos.archivesofcalifornia.com/r/rancho-laguna-tache.html,yes,sole
rancho-santa-cruz-island,Santa Cruz Island,1839,alvarado,Alvarado,Andres Castillero,52760,,,SD 340,Confirmed,Andres Castillero,"Mar. 21, 1867","52,760.33",,23 Howard 464,https://digicoll.lib.berkeley.edu/record/268963,https://ranchos.archivesofcalifornia.com/r/rancho-santa-cruz-island.html,yes,sole
rancho-tejon,El Tejon,1843,micheltorena,Micheltorena,José A. Aguirre and Ignacio del Valle,97616,,Kern,SD 327,Confirmed,Jose A. Aguirre and Ignacio del Valle,"May 9, 1863","97,616.78",344,,https://digicoll.lib.berkeley.edu/record/268950,https://ranchos.archivesofcalifornia.com/r/rancho-tejon.html,yes,sole
rancho-punta-reyes-1,Punta De Los Reyes (Sobrante),1843,micheltorena,Micheltorena,Antonio M. Osio,48189,11,Marin,ND 236,Confirmed,Andrew Randall,"June 4, 1860","48,189.34",34,,https://digicoll.lib.berkeley.edu/record/256570,https://ranchos.archivesofcalifornia.com/r/rancho-punta-reyes-1.html,yes,sole
rancho-pescadero-1,El Pescadero,1843,micheltorena,Micheltorena,Valentin Higuera and Rafael Feliz,35446,,,ND 137,Confirmed,"Hiram Grimes, Francis W. Grimes, and William H. McKee","Jan. 18, 1858","35,446.00",107,,https://digicoll.lib.berkeley.edu/record/265497,https://ranchos.archivesofcalifornia.com/r/rancho-pescadero-1.html,yes,sole
rancho-cachil-dehe-rancheria,Jimeno Rancho,1844,micheltorena,Micheltorena,Manuel Jimeno,48854,,,ND 023,Confirmed,Thomas C. Larkin and John S. Missroon,"July 18, 1862","48,854.26",22,18 How. 557,https://digicoll.lib.berkeley.edu/record/264412,https://ranchos.archivesofcalifornia.com/r/rancho-cachil-dehe-rancheria.html,yes,sole
pueblo-pueblo-san-jose,Pueblo Lands Of San Jose,1777,pueblo,Neve,Pueblo of San Jose,55892,,,ND 419,,the City of San Jos\u00e9,"June 4, 1884","55,891.77",179,,https://digicoll.lib.berkeley.edu/record/264265,https://ranchos.archivesofcalifornia.com/r/pueblo-pueblo-san-jose.html,yes,sole
pueblo-city-monterey,City Lands Of Monterey,1830,pueblo,,City of Monterey,29699,,,SD 382,,the City of Monterey,"Nov. 19, 1891","29,698.53",256,,https://digicoll.lib.berkeley.edu/record/269001,https://ranchos.archivesofcalifornia.com/r/pueblo-city-monterey.html,yes,share_of_grant
pueblo-pueblo-sonoma,Pueblo Lands Of Sonoma,1835,pueblo,Figueroa,Pueblo of Sonoma,6064,,,ND 423,,the City of Sonoma,"Mar. 31, 1880","6,063.95",68,,https://digicoll.lib.berkeley.edu/record/264267,https://ranchos.archivesofcalifornia.com/r/pueblo-pueblo-sonoma.html,yes,sole
pueblo-city-angeles,City Lands Of Los Angeles,1781,pueblo,Neve,Pueblo of Los Angeles,17172,,,SD 386,,"the City of Los Angeles Aug. 9, 1866, and","Aug. 4, 1875","17,172.37",427,,https://digicoll.lib.berkeley.edu/record/269005,https://ranchos.archivesofcalifornia.com/r/pueblo-city-angeles.html,yes,share_of_grant
pueblo-pueblo-santa-barbara,Pueblo Lands Of Santa Barbara,1834,pueblo,Figueroa,Pueblo of Santa Barbara,17826,,,SD 242,,the City of Santa Barbara,"May 31, 1872","17,826.17",386,,https://digicoll.lib.berkeley.edu/record/267583,https://ranchos.archivesofcalifornia.com/r/pueblo-pueblo-santa-barbara.html,yes,alternate_dating
pueblo-pueblo-san-diego,Pueblo Lands Of San Diego,1834,pueblo,Figueroa,"Pueblo of San Diego (City of San Diego, claimant)",47323,,,SD 390,,,,,526,,https://digicoll.lib.berkeley.edu/record/102020,https://ranchos.archivesofcalifornia.com/r/pueblo-pueblo-san-diego.html,yes,alternate_dating
mission-mission-dolores-bernal,Mission Dolores (Bernal),1834,mission,Figueroa,Jose C. Bernal,6,,,ND 165,,Carmen Sibrian de Bernal. et al,"June 13, 1882",5.86,158,,https://digicoll.lib.berkeley.edu/record/265525,https://ranchos.archivesofcalifornia.com/r/mission-mission-dolores-bernal.html,yes,sole
mission-near-san-juan-bautista,Near Mission San Juan Bautista (Castro),1839,mission,Castro,Mariano Castro,33,,,SD 350,,Rufina Castro,"Mar. 18, 1885",33.47,,,https://digicoll.lib.berkeley.edu/record/268972,https://ranchos.archivesofcalifornia.com/r/mission-near-san-juan-bautista.html,yes,sole
mission-mission-dolores-guerrero-y-palomares,Mission Dolores (Guerrero Y Palomares),1836,mission,Gutierrez,Francisco Guerroro y Palomares,28,,,ND 131,,the heirs of Francisco Guerrero y Palomares,"Apl. 1, 1870",28.41,160,,https://digicoll.lib.berkeley.edu/record/265491,https://ranchos.archivesofcalifornia.com/r/mission-mission-dolores-guerrero-y-palomares.html,yes,sole
mission-mission-santa-clara,Mission Santa Clara,1845,mission,Pico,Narciso Bennett,359,,,ND 361,,Mary S. Bennett,"July 19, 1871",358.51,189,,https://digicoll.lib.berkeley.edu/record/264198,https://ranchos.archivesofcalifornia.com/r/mission-mission-santa-clara.html,yes,sole
mission-san-juan-bautista,Mission San Juan Bautista,1846,mission,Pico,Jose Castro,401,,,SD 352,,Patrick Breen,"Jan. 22, 1877",401.25,248,,https://digicoll.lib.berkeley.edu/record/268974,https://ranchos.archivesofcalifornia.com/r/mission-san-juan-bautista.html,yes,sole
mission-santa-barbara,S Of Mission Santa Barbara,1846,mission,Pico,Richard S. Den,,,,SD 338,,,,,,,https://digicoll.lib.berkeley.edu/record/268961,https://ranchos.archivesofcalifornia.com/r/mission-santa-barbara.html,yes,sole
